,Unnamed: 0,ID,flow_id,time,bytes,bytes_sum,dir,iat
0,0,2023-10-12 02:42:40US15.203966557,2023-10-12 02:42:40US,15.203966557000001,283,283,True,15.203966557000001
1,1,2023-10-12 02:42:40US15.439405254,2023-10-12 02:42:40US,15.439405254,576,859,False,15.439405254
2,2,2023-10-12 02:42:40US15.443439057,2023-10-12 02:42:40US,15.443439057,4968,5827,False,0.0040338030000004466
3,3,2023-10-12 02:42:40US15.454309525,2023-10-12 02:42:40US,15.454309525,567,6394,False,0.01087046799999847
4,4,2023-10-12 02:42:40US15.456680932,2023-10-12 02:42:40US,15.456680932000001,80,6474,True,0.25271437500000005
5,5,2023-10-12 02:42:40US15.456808796,2023-10-12 02:42:40US,15.456808795999999,24,6498,True,0.00012786400000130982
12,12,2023-10-12 02:42:44US0.461801458,2023-10-12 02:42:44US,0.46180145799999994,283,283,True,0.46180145799999994
13,13,2023-10-12 02:42:44US0.727196927,2023-10-12 02:42:44US,0.727196927,576,859,False,0.727196927
14,14,2023-10-12 02:42:44US0.727582604,2023-10-12 02:42:44US,0.7275826040000001,3520,4379,False,0.00038567699999991767
15,15,2023-10-12 02:42:44US0.738803177,2023-10-12 02:42:44US,0.738803177,1448,5827,False,0.011220573000000013
16,16,2023-10-12 02:42:44US0.746714218,2023-10-12 02:42:44US,0.7467142179999999,567,6394,False,0.007911041000000063
17,17,2023-10-12 02:42:44US0.74806526,2023-10-12 02:42:44US,0.74806526,80,6474,True,0.286263802
18,18,2023-10-12 02:42:44US0.748270989,2023-10-12 02:42:44US,0.7482709890000001,24,6498,True,0.00020572900000004332
24,24,2023-10-12 02:42:40US0.177711,2023-10-12 02:42:40US,0.17771099999999998,292,292,True,0.17771099999999998
25,25,2023-10-12 02:42:40US0.200246,2023-10-12 02:42:40US,0.200246,517,809,False,0.200246
26,26,2023-10-12 02:42:40US0.200861,2023-10-12 02:42:40US,0.20086099999999998,3527,4336,False,0.0006150000000000044
27,27,2023-10-12 02:42:40US0.203195,2023-10-12 02:42:40US,0.20319500000000001,64,4400,True,0.025483999999999982
28,28,2023-10-12 02:42:40US0.203373,2023-10-12 02:42:40US,0.203373,24,4424,True,0.00017800000000001148
29,29,2023-10-12 02:42:40US0.177639,2023-10-12 02:42:40US,0.17763900000000002,292,4716,True,-0.02573400000000001
30,30,2023-10-12 02:42:40US0.200248,2023-10-12 02:42:40US,0.200248,517,5233,False,-0.0006130000000000023
31,31,2023-10-12 02:42:40US0.200892,2023-10-12 02:42:40US,0.20089200000000002,3527,8760,False,0.0006439999999999778
32,32,2023-10-12 02:42:40US0.204024,2023-10-12 02:42:40US,0.204024,64,8824,True,0.02638500000000002
33,33,2023-10-12 02:42:40US0.204093,2023-10-12 02:42:40US,0.204093,24,8848,True,6.899999999998574e-05
34,34,2023-10-12 02:42:40US0.182935,2023-10-12 02:42:40US,0.182935,292,9140,True,-0.02115800000000001
35,35,2023-10-12 02:42:40US0.206774,2023-10-12 02:42:40US,0.20677399999999999,517,9657,False,0.005882000000000026
36,36,2023-10-12 02:42:40US0.207504,2023-10-12 02:42:40US,0.207504,3527,13184,False,0.0007299999999999808
37,37,2023-10-12 02:42:40US0.209747,2023-10-12 02:42:40US,0.209747,64,13248,True,0.026812
38,38,2023-10-12 02:42:40US0.209836,2023-10-12 02:42:40US,0.20983600000000002,24,13272,True,8.900000000000574e-05
39,39,2023-10-12 02:42:40US0.221815,2023-10-12 02:42:40US,0.221815,292,13564,True,0.011979000000000016
40,40,2023-10-12 02:42:40US0.24047,2023-10-12 02:42:40US,0.24047,517,14081,False,0.032965999999999995
41,41,2023-10-12 02:42:40US0.241054,2023-10-12 02:42:40US,0.241054,3527,17608,False,0.0005840000000000013
42,42,2023-10-12 02:42:40US0.243193,2023-10-12 02:42:40US,0.243193,64,17672,True,0.02137799999999998
43,43,2023-10-12 02:42:40US0.243295,2023-10-12 02:42:40US,0.24329499999999998,24,17696,True,0.00010200000000001874
44,44,2023-10-12 02:42:53US0.782863615,2023-10-12 02:42:53US,0.782863615,283,283,True,0.782863615
45,45,2023-10-12 02:42:53US0.80682423,2023-10-12 02:42:53US,0.80682423,576,859,False,0.80682423
46,46,2023-10-12 02:42:53US0.809891307,2023-10-12 02:42:53US,0.809891307,4968,5827,False,0.0030670769999999736
47,47,2023-10-12 02:42:53US0.825044615,2023-10-12 02:42:53US,0.825044615,567,6394,False,0.015153308000000032
48,48,2023-10-12 02:42:53US0.862881846,2023-10-12 02:42:53US,0.862881846,80,6474,True,0.08001823099999994
49,49,2023-10-12 02:42:53US0.86354523,2023-10-12 02:42:53US,0.86354523,24,6498,True,0.0006633840000001001
4477,4477,2023-10-12 03:06:29US15.45596127,2023-10-12 03:06:29US,15.45596127,283,283,True,15.45596127
4478,4478,2023-10-12 03:06:29US15.793490242,2023-10-12 03:06:29US,15.793490242,576,859,False,15.793490242
4479,4479,2023-10-12 03:06:29US15.799230476,2023-10-12 03:06:29US,15.799230475999998,4968,5827,False,0.005740233999999234
4480,4480,2023-10-12 03:06:29US15.841006111,2023-10-12 03:06:29US,15.841006110999999,567,6394,False,0.041775635000000484
4481,4481,2023-10-12 03:06:29US15.859279955,2023-10-12 03:06:29US,15.859279955,80,6474,True,0.4033186850000003
4482,4482,2023-10-12 03:06:29US15.85986394,2023-10-12 03:06:29US,15.85986394,24,6498,True,0.0005839850000004532
4937,4937,2023-10-12 04:06:07US16.257169522,2023-10-12 04:06:07US,16.257169522,283,283,True,16.257169522
4938,4938,2023-10-12 04:06:07US16.680160693,2023-10-12 04:06:07US,16.680160693,576,859,False,16.680160693
4939,4939,2023-10-12 04:06:07US16.685281543,2023-10-12 04:06:07US,16.685281543,872,1731,False,0.00512084999999729
4940,4940,2023-10-12 04:06:07US16.715797452,2023-10-12 04:06:07US,16.715797452,1448,3179,False,0.03051590900000178
4941,4941,2023-10-12 04:06:07US16.731587532,2023-10-12 04:06:07US,16.731587532,3215,6394,False,0.015790079999998596
4942,4942,2023-10-12 04:06:07US16.765082487,2023-10-12 04:06:07US,16.765082487,80,6474,True,0.5079129649999992
4943,4943,2023-10-12 04:06:07US16.765570198,2023-10-12 04:06:07US,16.765570198,24,6498,True,0.00048771099999811435
5652,5652,2023-10-12 04:08:59US1.186232135,2023-10-12 04:08:59US,1.186232135,283,283,True,1.186232135
5653,5653,2023-10-12 04:08:59US1.219915468,2023-10-12 04:08:59US,1.219915468,576,859,False,1.219915468
5654,5654,2023-10-12 04:08:59US1.223035208,2023-10-12 04:08:59US,1.223035208,4968,5827,False,0.003119740000000037
5655,5655,2023-10-12 04:08:59US1.279308958,2023-10-12 04:08:59US,1.2793089579999999,567,6394,False,0.056273750000000115
5656,5656,2023-10-12 04:08:59US1.298411979,2023-10-12 04:08:59US,1.2984119790000002,80,6474,True,0.11217984399999993
5657,5657,2023-10-12 04:08:59US1.298757447,2023-10-12 04:08:59US,1.298757447,24,6498,True,0.0003454680000001264
5682,5682,2023-10-12 04:09:14US0.919629231,2023-10-12 04:09:14US,0.9196292309999999,283,283,True,0.9196292309999999
5683,5683,2023-10-12 04:09:14US1.238659154,2023-10-12 04:09:14US,1.238659154,576,859,False,1.238659154
5684,5684,2023-10-12 04:09:14US1.242064077,2023-10-12 04:09:14US,1.242064077,5535,6394,False,0.0034049229999999486
5685,5685,2023-10-12 04:09:14US1.252111692,2023-10-12 04:09:14US,1.252111692,80,6474,True,0.3324824609999999
5686,5686,2023-10-12 04:09:14US1.252920615,2023-10-12 04:09:14US,1.252920615,24,6498,True,0.0008089230000001281
5687,5687,2023-10-12 04:09:14US1.242045,2023-10-12 04:09:14US,1.242045,283,6781,True,-0.010875615000000005
5688,5688,2023-10-12 04:09:14US1.584821923,2023-10-12 04:09:14US,1.584821923,576,7357,False,0.34275784600000003
5689,5689,2023-10-12 04:09:14US1.587405923,2023-10-12 04:09:14US,1.5874059230000002,4948,12305,False,0.00258399999999992
5690,5690,2023-10-12 04:09:14US1.8829646150000001,2023-10-12 04:09:14US,1.882964615,587,12892,False,0.2955586920000002
5691,5691,2023-10-12 04:09:14US1.886916,2023-10-12 04:09:14US,1.886916,80,12972,True,0.644871
5692,5692,2023-10-12 04:09:14US1.887330846,2023-10-12 04:09:14US,1.887330846,24,12996,True,0.0004148459999999688
5693,5693,2023-10-12 04:09:14US1.242168,2023-10-12 04:09:14US,1.242168,283,13279,True,-0.6451628460000001
5694,5694,2023-10-12 04:09:14US1.5847556919999999,2023-10-12 04:09:14US,1.584755692,576,13855,False,-0.29820892300000024
5695,5695,2023-10-12 04:09:14US1.590558538,2023-10-12 04:09:14US,1.590558538,4948,18803,False,0.005802846000000139
5696,5696,2023-10-12 04:09:14US1.883040615,2023-10-12 04:09:14US,1.883040615,587,19390,False,0.2924820770000001
5697,5697,2023-10-12 04:09:14US1.888799154,2023-10-12 04:09:14US,1.888799154,80,19470,True,0.6466311539999999
5698,5698,2023-10-12 04:09:14US1.888967769,2023-10-12 04:09:14US,1.888967769,24,19494,True,0.00016861499999998308
5808,5808,2023-10-12 04:09:27US0.861419692,2023-10-12 04:09:27US,0.861419692,283,283,True,0.861419692
5809,5809,2023-10-12 04:09:27US1.1336014620000001,2023-10-12 04:09:27US,1.133601462,576,859,False,1.133601462
5810,5810,2023-10-12 04:09:27US1.138978616,2023-10-12 04:09:27US,1.138978616,4948,5807,False,0.005377153999999829
5811,5811,2023-10-12 04:09:27US1.163007462,2023-10-12 04:09:27US,1.163007462,571,6378,False,0.024028845999999996
5812,5812,2023-10-12 04:09:27US1.178309231,2023-10-12 04:09:27US,1.1783092309999998,64,6442,True,0.31688953900000005
5813,5813,2023-10-12 04:09:27US1.178746846,2023-10-12 04:09:27US,1.178746846,24,6466,True,0.0004376149999998358
5814,5814,2023-10-12 04:09:27US0.869569692,2023-10-12 04:09:27US,0.869569692,283,6749,True,-0.3091771539999999
5815,5815,2023-10-12 04:09:27US1.180343769,2023-10-12 04:09:27US,1.180343769,576,7325,False,0.017336307000000106
5816,5816,2023-10-12 04:09:27US1.187177,2023-10-12 04:09:27US,1.1871770000000001,852,8177,False,0.006833230999999884
5817,5817,2023-10-12 04:09:27US1.194429,2023-10-12 04:09:27US,1.1944290000000002,1428,9605,False,0.007252000000000036
5818,5818,2023-10-12 04:09:27US1.2035576159999999,2023-10-12 04:09:27US,1.203557616,3239,12844,False,0.009128615999999923
5819,5819,2023-10-12 04:09:27US1.216574923,2023-10-12 04:09:27US,1.216574923,64,12908,True,0.347005231
5820,5820,2023-10-12 04:09:27US1.216772769,2023-10-12 04:09:27US,1.216772769,24,12932,True,0.00019784600000005703
5821,5821,2023-10-12 04:09:27US0.863786077,2023-10-12 04:09:27US,0.863786077,283,13215,True,-0.3529866920000001
5822,5822,2023-10-12 04:09:27US1.174251769,2023-10-12 04:09:27US,1.174251769,576,13791,False,-0.029305846999999833
5823,5823,2023-10-12 04:09:27US1.181189692,2023-10-12 04:09:27US,1.181189692,852,14643,False,0.006937922999999957
5824,5824,2023-10-12 04:09:27US1.203557539,2023-10-12 04:09:27US,1.203557539,4667,19310,False,0.02236784699999994
5825,5825,2023-10-12 04:09:27US1.216611154,2023-10-12 04:09:27US,1.216611154,64,19374,True,0.35282507700000004
5826,5826,2023-10-12 04:09:27US1.216772846,2023-10-12 04:09:27US,1.216772846,24,19398,True,0.00016169200000004658
5827,5827,2023-10-12 04:09:27US1.243269923,2023-10-12 04:09:27US,1.243269923,283,19681,True,0.026497076999999924
5828,5828,2023-10-12 04:09:27US1.507197846,2023-10-12 04:09:27US,1.507197846,576,20257,False,0.303640307
5829,5829,2023-10-12 04:09:27US1.514392923,2023-10-12 04:09:27US,1.5143929230000002,4948,25205,False,0.007195076999999994
5830,5830,2023-10-12 04:09:27US1.529077308,2023-10-12 04:09:27US,1.5290773080000002,571,25776,False,0.014684385000000022
5831,5831,2023-10-12 04:09:27US1.542081231,2023-10-12 04:09:27US,1.5420812309999998,64,25840,True,0.2988113080000001
5832,5832,2023-10-12 04:09:27US1.542618154,2023-10-12 04:09:27US,1.5426181540000001,24,25864,True,0.0005369229999998558
5833,5833,2023-10-12 04:09:27US1.243243,2023-10-12 04:09:27US,1.243243,283,26147,True,-0.2993751539999998
5834,5834,2023-10-12 04:09:27US1.5145662309999999,2023-10-12 04:09:27US,1.514566231,576,26723,False,-0.014511077000000094
5835,5835,2023-10-12 04:09:27US1.520611385,2023-10-12 04:09:27US,1.520611385,4968,31691,False,0.006045154000000164
5836,5836,2023-10-12 04:09:27US1.542297231,2023-10-12 04:09:27US,1.542297231,551,32242,False,0.02168584600000001
5837,5837,2023-10-12 04:09:27US1.556494923,2023-10-12 04:09:27US,1.556494923,64,32306,True,0.31325192299999993
5838,5838,2023-10-12 04:09:27US1.557583539,2023-10-12 04:09:27US,1.5575835390000001,24,32330,True,0.0010886159999998757
