,Unnamed: 0,ID,flow_id,time,bytes,bytes_sum,dir,iat
6863,6863,2023-10-14 05:09:50USAS2090.498961406,2023-10-14 05:09:50USAS209,0.498961406,286,286,True,0.498961406
6864,6864,2023-10-14 05:09:50USAS2090.506932135,2023-10-14 05:09:50USAS209,0.506932135,517,803,False,0.506932135
6865,6865,2023-10-14 05:09:50USAS2090.507010625,2023-10-14 05:09:50USAS209,0.507010625,4036,4839,False,7.849000000004214e-05
6866,6866,2023-10-14 05:09:50USAS2090.570226666,2023-10-14 05:09:50USAS209,0.570226666,158,4997,True,0.07126526
6867,6867,2023-10-14 05:09:50USAS2090.578140937,2023-10-14 05:09:50USAS209,0.578140937,120,5117,False,0.0711303119999999
6868,6868,2023-10-14 05:09:50USAS2090.578628333,2023-10-14 05:09:50USAS209,0.578628333,31,5148,True,0.008401667
8012,8012,2023-10-14 13:41:45USAS1742.2399676,2023-10-14 13:41:45USAS174,2.2399676,282,282,True,2.2399676
8013,8013,2023-10-14 13:41:45USAS1742.9261762,2023-10-14 13:41:45USAS174,2.9261762,517,799,False,2.9261762
8014,8014,2023-10-14 13:41:45USAS1742.9261762,2023-10-14 13:41:45USAS174,2.9261762,2253,3052,False,0.0
8015,8015,2023-10-14 13:41:45USAS1742.9262827,2023-10-14 13:41:45USAS174,2.9262827,1783,4835,False,0.0001064999999997
8016,8016,2023-10-14 13:41:45USAS1742.9335402,2023-10-14 13:41:45USAS174,2.9335402,158,4993,True,0.6935726
8017,8017,2023-10-14 13:41:45USAS1743.6194594,2023-10-14 13:41:45USAS174,3.6194594,51,5044,False,0.6931767000000004
8018,8018,2023-10-14 13:41:45USAS1743.619919,2023-10-14 13:41:45USAS174,3.619919,31,5075,True,0.6863788
16618,16618,2023-10-14 09:04:03USAS56500.934105573,2023-10-14 09:04:03USAS5650,0.934105573,282,282,True,0.934105573
16619,16619,2023-10-14 09:04:03USAS56500.946842969,2023-10-14 09:04:03USAS5650,0.946842969,576,858,False,0.946842969
16620,16620,2023-10-14 09:04:03USAS56500.946938073,2023-10-14 09:04:03USAS5650,0.946938073,2332,3190,False,9.510400000001253e-05
16621,16621,2023-10-14 09:04:03USAS56500.947495208,2023-10-14 09:04:03USAS5650,0.947495208,1645,4835,False,0.0005571349999999
16622,16622,2023-10-14 09:04:03USAS56500.973029323,2023-10-14 09:04:03USAS5650,0.973029323,158,4993,True,0.03892375
16623,16623,2023-10-14 09:04:03USAS56500.986723698,2023-10-14 09:04:03USAS5650,0.986723698,120,5113,False,0.03922849
16624,16624,2023-10-14 09:04:03USAS56500.987619167,2023-10-14 09:04:03USAS5650,0.987619167,31,5144,True,0.0145898439999999
18406,18406,2023-10-14 05:58:42USAS41811.598074375,2023-10-14 05:58:42USAS4181,1.598074375,282,282,True,1.598074375
18407,18407,2023-10-14 05:58:42USAS41811.612450052,2023-10-14 05:58:42USAS4181,1.612450052,576,858,False,1.612450052
