,Unnamed: 0,ID,flow_id,time,bytes,bytes_sum,dir,iat
358,358,2023-11-12 14:17:36USAS4137815.399970463,2023-11-12 14:17:36USAS41378,15.399970463,278,278,True,15.399970463
359,359,2023-11-12 14:17:36USAS4137816.071330098,2023-11-12 14:17:36USAS41378,16.071330098,576,854,False,16.071330098
360,360,2023-11-12 14:17:36USAS4137816.073718432,2023-11-12 14:17:36USAS41378,16.073718432,5108,5962,False,0.002388333999999
361,361,2023-11-12 14:17:36USAS4137816.109984161,2023-11-12 14:17:36USAS41378,16.109984161,80,6042,True,0.7100136979999991
362,362,2023-11-12 14:17:36USAS4137816.110327598,2023-11-12 14:17:36USAS41378,16.110327598,24,6066,True,0.0003434370000015
363,363,2023-11-12 14:17:36USAS4137815.399812546,2023-11-12 14:17:36USAS41378,15.399812546,278,6344,True,-0.7105150520000016
364,364,2023-11-12 14:17:36USAS4137816.070654577,2023-11-12 14:17:36USAS41378,16.070654577,576,6920,False,-0.0030638550000006
365,365,2023-11-12 14:17:36USAS4137816.07359364,2023-11-12 14:17:36USAS41378,16.07359364,5108,12028,False,0.0029390629999994
366,366,2023-11-12 14:17:36USAS4137816.110213275,2023-11-12 14:17:36USAS41378,16.110213275,80,12108,True,0.7104007289999998
367,367,2023-11-12 14:17:36USAS4137816.110387807,2023-11-12 14:17:36USAS41378,16.110387807,24,12132,True,0.000174531999999
1507,1507,2023-11-12 14:22:54USAS264720.319076,2023-11-12 14:22:54USAS26472,0.319076,278,278,True,0.319076
1508,1508,2023-11-12 14:22:54USAS264720.4209386,2023-11-12 14:22:54USAS26472,0.4209386,576,854,False,0.4209386
1509,1509,2023-11-12 14:22:54USAS264720.4209386,2023-11-12 14:22:54USAS26472,0.4209386,3520,4374,False,0.0
1510,1510,2023-11-12 14:22:54USAS264720.4221906,2023-11-12 14:22:54USAS26472,0.4221906,1588,5962,False,0.001252
1511,1511,2023-11-12 14:22:54USAS264720.4226387,2023-11-12 14:22:54USAS26472,0.4226387,80,6042,True,0.1035626999999999
1512,1512,2023-11-12 14:22:54USAS264720.4226387,2023-11-12 14:22:54USAS26472,0.4226387,24,6066,True,0.0
2666,2666,2023-11-12 10:43:24USAS198811.443133668,2023-11-12 10:43:24USAS19881,1.443133668,278,278,True,1.443133668
2667,2667,2023-11-12 10:43:24USAS198811.605203167,2023-11-12 10:43:24USAS19881,1.605203167,576,854,False,1.605203167
2668,2668,2023-11-12 10:43:24USAS198811.608633465,2023-11-12 10:43:24USAS19881,1.608633465,5108,5962,False,0.003430298
2669,2669,2023-11-12 10:43:24USAS198811.645428997,2023-11-12 10:43:24USAS19881,1.645428997,80,6042,True,0.202295329
2670,2670,2023-11-12 10:43:24USAS198811.645751588,2023-11-12 10:43:24USAS19881,1.645751588,24,6066,True,0.0003225909999999
2876,2876,2023-11-12 10:45:01USAS79220.238837,2023-11-12 10:45:01USAS7922,0.238837,278,278,True,0.238837
2877,2877,2023-11-12 10:45:01USAS79220.638641,2023-11-12 10:45:01USAS7922,0.638641,576,854,False,0.638641
2878,2878,2023-11-12 10:45:01USAS79220.639029,2023-11-12 10:45:01USAS7922,0.639029,5108,5962,False,0.0003879999999999
2879,2879,2023-11-12 10:45:01USAS79220.640361,2023-11-12 10:45:01USAS7922,0.640361,80,6042,True,0.401524
2880,2880,2023-11-12 10:45:01USAS79220.640497,2023-11-12 10:45:01USAS7922,0.640497,24,6066,True,0.000136
2899,2899,2023-11-12 10:47:26USAS70290.355393269,2023-11-12 10:47:26USAS7029,0.355393269,278,278,True,0.355393269
2900,2900,2023-11-12 10:47:26USAS70290.556305615,2023-11-12 10:47:26USAS7029,0.556305615,576,854,False,0.556305615
2901,2901,2023-11-12 10:47:26USAS70290.558403192,2023-11-12 10:47:26USAS7029,0.558403192,5108,5962,False,0.002097577
2902,2902,2023-11-12 10:47:26USAS70290.582967153,2023-11-12 10:47:26USAS7029,0.582967153,80,6042,True,0.227573884
2903,2903,2023-11-12 10:47:26USAS70290.583540615,2023-11-12 10:47:26USAS7029,0.583540615,24,6066,True,0.0005734619999999
5315,5315,2023-11-12 20:49:11USAS56500.4013204,2023-11-12 20:49:11USAS5650,0.4013204,278,278,True,0.4013204
5316,5316,2023-11-12 20:49:11USAS56500.5324013,2023-11-12 20:49:11USAS5650,0.5324013,576,854,False,0.5324013
5317,5317,2023-11-12 20:49:11USAS56500.5324013,2023-11-12 20:49:11USAS5650,0.5324013,1904,2758,False,0.0
5318,5318,2023-11-12 20:49:11USAS56500.5337786,2023-11-12 20:49:11USAS5650,0.5337786,1616,4374,False,0.0013773
5319,5319,2023-11-12 20:49:11USAS56500.5346504,2023-11-12 20:49:11USAS5650,0.5346504,1588,5962,False,0.0008717999999999
5320,5320,2023-11-12 20:49:11USAS56500.5351563,2023-11-12 20:49:11USAS5650,0.5351563,80,6042,True,0.1338359
5321,5321,2023-11-12 20:49:11USAS56500.5351563,2023-11-12 20:49:11USAS5650,0.5351563,24,6066,True,0.0
6017,6017,2023-11-12 20:54:18USAS2060926.001005,2023-11-12 20:54:18USAS206092,6.001005,278,278,True,6.001005
