,Unnamed: 0,ID,flow_id,time,bytes,bytes_sum,dir,iat
56,56,2023-11-12 14:16:54USAS4137815.473855515,2023-11-12 14:16:54USAS41378,15.473855515,283,283,True,15.473855515
57,57,2023-11-12 14:16:54USAS4137815.76695291,2023-11-12 14:16:54USAS41378,15.76695291,576,859,False,15.76695291
58,58,2023-11-12 14:16:54USAS4137815.767858483,2023-11-12 14:16:54USAS41378,15.767858483,1349,2208,False,0.0009055729999989
59,59,2023-11-12 14:16:54USAS4137815.767933796,2023-11-12 14:16:54USAS41378,15.767933796,1575,3783,False,7.531299999996577e-05
60,60,2023-11-12 14:16:54USAS4137815.774524838,2023-11-12 14:16:54USAS41378,15.774524838,64,3847,True,0.3006693229999992
61,61,2023-11-12 14:16:54USAS4137815.77484791,2023-11-12 14:16:54USAS41378,15.77484791,24,3871,True,0.0003230720000004
62,62,2023-11-12 14:16:54USAS4137815.47338489,2023-11-12 14:16:54USAS41378,15.47338489,283,4154,True,-0.3014630199999999
63,63,2023-11-12 14:16:54USAS4137815.766392806,2023-11-12 14:16:54USAS41378,15.766392806,576,4730,False,-0.0015409899999987
64,64,2023-11-12 14:16:54USAS4137815.767570619,2023-11-12 14:16:54USAS41378,15.767570619,1349,6079,False,0.0011778129999999
65,65,2023-11-12 14:16:54USAS4137815.767668431,2023-11-12 14:16:54USAS41378,15.767668431,1575,7654,False,9.78119999999194e-05
66,66,2023-11-12 14:16:54USAS4137815.774626504,2023-11-12 14:16:54USAS41378,15.774626504,64,7718,True,0.3012416140000002
67,67,2023-11-12 14:16:54USAS4137815.7747764,2023-11-12 14:16:54USAS41378,15.7747764,24,7742,True,0.0001498959999999
168,168,2023-11-12 14:17:05USAS7011.025158697,2023-11-12 14:17:05USAS701,1.025158697,283,283,True,1.025158697
169,169,2023-11-12 14:17:05USAS7011.036952916,2023-11-12 14:17:05USAS701,1.036952916,576,859,False,1.036952916
170,170,2023-11-12 14:17:05USAS7011.038536822,2023-11-12 14:17:05USAS701,1.038536822,1349,2208,False,0.001583906
171,171,2023-11-12 14:17:05USAS7011.038622082,2023-11-12 14:17:05USAS701,1.038622082,835,3043,False,8.526000000008693e-05
172,172,2023-11-12 14:17:05USAS7011.16747328,2023-11-12 14:17:05USAS701,1.16747328,741,3784,False,0.128851198
173,173,2023-11-12 14:17:05USAS7011.1713463530000001,2023-11-12 14:17:05USAS701,1.171346353,64,3848,True,0.1461876560000001
174,174,2023-11-12 14:17:05USAS7011.17186453,2023-11-12 14:17:05USAS701,1.17186453,24,3872,True,0.0005181769999997
272,272,2023-11-12 14:17:19USAS79220.792828645,2023-11-12 14:17:19USAS7922,0.792828645,283,283,True,0.792828645
273,273,2023-11-12 14:17:19USAS79220.826677656,2023-11-12 14:17:19USAS7922,0.826677656,576,859,False,0.826677656
274,274,2023-11-12 14:17:19USAS79220.830868697,2023-11-12 14:17:19USAS7922,0.830868697,1349,2208,False,0.004191041
275,275,2023-11-12 14:17:19USAS79220.831401614,2023-11-12 14:17:19USAS7922,0.831401614,1576,3784,False,0.000532917
276,276,2023-11-12 14:17:19USAS79220.83611776,2023-11-12 14:17:19USAS7922,0.83611776,64,3848,True,0.0432891149999999
277,277,2023-11-12 14:17:19USAS79220.836496249,2023-11-12 14:17:19USAS7922,0.836496249,24,3872,True,0.0003784889999999
406,406,2023-11-12 14:18:52USAS7010.537281657,2023-11-12 14:18:52USAS701,0.537281657,283,283,True,0.537281657
407,407,2023-11-12 14:18:52USAS7010.551103597,2023-11-12 14:18:52USAS701,0.551103597,576,859,False,0.551103597
408,408,2023-11-12 14:18:52USAS7010.553181641,2023-11-12 14:18:52USAS701,0.553181641,1349,2208,False,0.002078044
409,409,2023-11-12 14:18:52USAS7010.553250163,2023-11-12 14:18:52USAS701,0.553250163,1576,3784,False,6.852199999995978e-05
410,410,2023-11-12 14:18:52USAS7010.564819824,2023-11-12 14:18:52USAS701,0.564819824,64,3848,True,0.027538167
411,411,2023-11-12 14:18:52USAS7010.565046265,2023-11-12 14:18:52USAS701,0.565046265,24,3872,True,0.000226441
412,412,2023-11-12 14:18:52USAS7010.537382243,2023-11-12 14:18:52USAS701,0.537382243,283,4155,True,-0.0276640219999999
413,413,2023-11-12 14:18:52USAS7010.559051514,2023-11-12 14:18:52USAS701,0.559051514,576,4731,False,0.005801351
414,414,2023-11-12 14:18:52USAS7010.564325073,2023-11-12 14:18:52USAS701,0.564325073,1349,6080,False,0.005273559
415,415,2023-11-12 14:18:52USAS7010.564477987,2023-11-12 14:18:52USAS701,0.564477987,1576,7656,False,0.0001529139999999
416,416,2023-11-12 14:18:52USAS7010.600701253,2023-11-12 14:18:52USAS701,0.600701253,64,7720,True,0.0633190099999999
417,417,2023-11-12 14:18:52USAS7010.60115922,2023-11-12 14:18:52USAS701,0.60115922,24,7744,True,0.000457967
549,549,2023-11-12 14:19:19USAS219281.023037069,2023-11-12 14:19:19USAS21928,1.023037069,283,283,True,1.023037069
550,550,2023-11-12 14:19:19USAS219281.087366333,2023-11-12 14:19:19USAS21928,1.087366333,576,859,False,1.087366333
551,551,2023-11-12 14:19:19USAS219281.090041626,2023-11-12 14:19:19USAS21928,1.090041626,1349,2208,False,0.002675293
552,552,2023-11-12 14:19:19USAS219281.090212647,2023-11-12 14:19:19USAS21928,1.090212647,835,3043,False,0.0001710209999998
553,553,2023-11-12 14:19:19USAS219281.098054525,2023-11-12 14:19:19USAS21928,1.098054525,741,3784,False,0.007841878
554,554,2023-11-12 14:19:19USAS219281.112055013,2023-11-12 14:19:19USAS21928,1.112055013,64,3848,True,0.089017944
555,555,2023-11-12 14:19:19USAS219281.112260376,2023-11-12 14:19:19USAS21928,1.112260376,24,3872,True,0.000205363
671,671,2023-11-12 14:19:41USAS114040.236467396,2023-11-12 14:19:41USAS11404,0.236467396,283,283,True,0.236467396
672,672,2023-11-12 14:19:41USAS114040.263273906,2023-11-12 14:19:41USAS11404,0.263273906,576,859,False,0.263273906
673,673,2023-11-12 14:19:41USAS114040.264182031,2023-11-12 14:19:41USAS11404,0.264182031,1349,2208,False,0.0009081249999999
674,674,2023-11-12 14:19:41USAS114040.2642475,2023-11-12 14:19:41USAS11404,0.2642475,1576,3784,False,6.546900000004019e-05
675,675,2023-11-12 14:19:41USAS114040.268825938,2023-11-12 14:19:41USAS11404,0.268825938,64,3848,True,0.0323585419999999
676,676,2023-11-12 14:19:41USAS114040.268968906,2023-11-12 14:19:41USAS11404,0.268968906,24,3872,True,0.000142968
738,738,2023-11-12 14:20:11USAS227730.443787563,2023-11-12 14:20:11USAS22773,0.443787563,283,283,True,0.443787563
739,739,2023-11-12 14:20:11USAS227730.470782942,2023-11-12 14:20:11USAS22773,0.470782942,576,859,False,0.470782942
740,740,2023-11-12 14:20:11USAS227730.470896997,2023-11-12 14:20:11USAS22773,0.470896997,1349,2208,False,0.000114055
741,741,2023-11-12 14:20:11USAS227730.47090422,2023-11-12 14:20:11USAS22773,0.47090422,1576,3784,False,7.223000000000645e-06
742,742,2023-11-12 14:20:11USAS227730.471946482,2023-11-12 14:20:11USAS22773,0.471946482,64,3848,True,0.028158919
743,743,2023-11-12 14:20:11USAS227730.471984598,2023-11-12 14:20:11USAS22773,0.471984598,24,3872,True,3.811599999997695e-05
917,917,2023-11-12 14:20:26USAS200010.783049271,2023-11-12 14:20:26USAS20001,0.783049271,283,283,True,0.783049271
918,918,2023-11-12 14:20:26USAS200011.033999166,2023-11-12 14:20:26USAS20001,1.033999166,576,859,False,1.033999166
919,919,2023-11-12 14:20:26USAS200011.034209791,2023-11-12 14:20:26USAS20001,1.034209791,1349,2208,False,0.000210625
920,920,2023-11-12 14:20:26USAS200011.034231458,2023-11-12 14:20:26USAS20001,1.034231458,1576,3784,False,2.166699999994748e-05
921,921,2023-11-12 14:20:26USAS200011.039356354,2023-11-12 14:20:26USAS20001,1.039356354,64,3848,True,0.2563070829999999
922,922,2023-11-12 14:20:26USAS200011.039459791,2023-11-12 14:20:26USAS20001,1.039459791,24,3872,True,0.0001034370000001
955,955,2023-11-12 14:20:45USAS7010.626976353,2023-11-12 14:20:45USAS701,0.626976353,283,283,True,0.626976353
956,956,2023-11-12 14:20:45USAS7010.637299947,2023-11-12 14:20:45USAS701,0.637299947,576,859,False,0.637299947
