,Unnamed: 0,ID,flow_id,time,bytes,bytes_sum,dir,iat
1227,1227,2023-11-12 14:21:44USAS227730.360118218,2023-11-12 14:21:44USAS22773,0.360118218,279,279,True,0.360118218
1228,1228,2023-11-12 14:21:44USAS227730.384904182,2023-11-12 14:21:44USAS22773,0.384904182,576,855,False,0.384904182
1229,1229,2023-11-12 14:21:44USAS227730.385026589,2023-11-12 14:21:44USAS22773,0.385026589,2337,3192,False,0.0001224069999999
1230,1230,2023-11-12 14:21:44USAS227730.385701114,2023-11-12 14:21:44USAS22773,0.385701114,64,3256,True,0.025582896
1231,1231,2023-11-12 14:21:44USAS227730.385737178,2023-11-12 14:21:44USAS22773,0.385737178,24,3280,True,3.606400000000232e-05
1232,1232,2023-11-12 14:21:44USAS227730.359992678,2023-11-12 14:21:44USAS22773,0.359992678,279,3559,True,-0.0257445
1233,1233,2023-11-12 14:21:44USAS227730.385966161,2023-11-12 14:21:44USAS22773,0.385966161,576,4135,False,0.0009395719999999
1234,1234,2023-11-12 14:21:44USAS227730.386065383,2023-11-12 14:21:44USAS22773,0.386065383,2337,6472,False,9.922200000000991e-05
1235,1235,2023-11-12 14:21:44USAS227730.386629829,2023-11-12 14:21:44USAS22773,0.386629829,64,6536,True,0.0266371509999999
1236,1236,2023-11-12 14:21:44USAS227730.386655363,2023-11-12 14:21:44USAS22773,0.386655363,24,6560,True,2.553399999999373e-05
1237,1237,2023-11-12 14:21:44USAS227730.360704089,2023-11-12 14:21:44USAS22773,0.360704089,279,6839,True,-0.0259512739999999
1238,1238,2023-11-12 14:21:44USAS227730.391824215,2023-11-12 14:21:44USAS22773,0.391824215,576,7415,False,0.0057588319999999
1239,1239,2023-11-12 14:21:44USAS227730.391934449,2023-11-12 14:21:44USAS22773,0.391934449,2338,9753,False,0.000110234
1240,1240,2023-11-12 14:21:44USAS227730.39253133,2023-11-12 14:21:44USAS22773,0.39253133,64,9817,True,0.031827241
1241,1241,2023-11-12 14:21:44USAS227730.392566181,2023-11-12 14:21:44USAS22773,0.392566181,24,9841,True,3.485100000000241e-05
2622,2622,2023-11-12 10:43:13USAS2090.311608308,2023-11-12 10:43:13USAS209,0.311608308,279,279,True,0.311608308
2623,2623,2023-11-12 10:43:13USAS2090.321414385,2023-11-12 10:43:13USAS209,0.321414385,576,855,False,0.321414385
2624,2624,2023-11-12 10:43:13USAS2090.323643,2023-11-12 10:43:13USAS209,0.323643,2337,3192,False,0.0022286149999999
2625,2625,2023-11-12 10:43:13USAS2090.333173231,2023-11-12 10:43:13USAS209,0.333173231,64,3256,True,0.021564923
2626,2626,2023-11-12 10:43:13USAS2090.333785154,2023-11-12 10:43:13USAS209,0.333785154,24,3280,True,0.0006119229999999
2627,2627,2023-11-12 10:43:13USAS2090.311704615,2023-11-12 10:43:13USAS209,0.311704615,279,3559,True,-0.0220805389999999
2628,2628,2023-11-12 10:43:13USAS2090.332477846,2023-11-12 10:43:13USAS209,0.332477846,576,4135,False,0.008834846
